ip: 8.220.141.8  port: 10000  speed: 2507 ms  country: Philippines
ip: 8.221.138.111  port: 6379  speed: 2532 ms  country: Japan
ip: 115.79.4.114  port: 80  speed: 3598 ms  country: Vietnam
ip: 47.252.11.233  port: 45  speed: 2265 ms  country: United States
ip: 47.237.92.86  port: 45  speed: 2438 ms  country: Singapore
ip: 8.211.49.86  port: 5007  speed: 2181 ms  country: Germany
ip: 47.91.29.151  port: 6379  speed: 2601 ms  country: Japan
ip: 47.56.110.204  port: 8989  speed: 853 ms  country: Hong Kong
ip: 145.100.181.155  port: 80  speed: 269 ms  country: Netherlands
ip: 149.129.255.179  port: 119  speed: 2479 ms  country: Indonesia
ip: 8.213.215.187  port: 18080  speed: 2424 ms  country: Thailand
ip: 8.220.205.172  port: 9020  speed: 2557 ms  country: South Korea
ip: 8.213.215.187  port: 104  speed: 2435 ms  country: Thailand
ip: 47.121.129.129  port: 7777  speed: 2478 ms  country: China
ip: 8.220.205.172  port: 45  speed: 2557 ms  country: South Korea
ip: 8.221.138.111  port: 18080  speed: 2621 ms  country: Japan
ip: 8.213.197.208  port: 8081  speed: 2533 ms  country: Thailand
ip: 8.213.222.247  port: 9098  speed: 2486 ms  country: Thailand
ip: 8.138.125.130  port: 8888  speed: 2615 ms  country: China
ip: 47.90.167.27  port: 999  speed: 2205 ms  country: United States
ip: 8.220.205.172  port: 11  speed: 2523 ms  country: South Korea
ip: 8.130.34.44  port: 8899  speed: 2566 ms  country: China
ip: 120.26.52.35  port: 80  speed: 2618 ms  country: China
ip: 121.43.154.123  port: 80  speed: 2577 ms  country: China
ip: 8.213.128.6  port: 6969  speed: 3342 ms  country: South Korea
ip: 8.213.128.6  port: 804  speed: 3357 ms  country: Singapore
ip: 39.102.211.64  port: 5060  speed: 2544 ms  country: China
ip: 47.91.89.3  port: 5060  speed: 2172 ms  country: Germany
ip: 149.129.226.9  port: 104  speed: 2564 ms  country: Indonesia
ip: 106.14.91.83  port: 4000  speed: 2675 ms  country: China
ip: 8.213.128.6  port: 9091  speed: 2955 ms  country: South Korea
ip: 8.213.128.6  port: 9002  speed: 3067 ms  country: South Korea
ip: 8.220.204.92  port: 81  speed: 2633 ms  country: South Korea
ip: 8.213.128.6  port: 2080  speed: 3092 ms  country: Singapore
ip: 8.213.128.6  port: 8889  speed: 2908 ms  country: South Korea
